Place	Место	Серия	Персонаж	Часть	Время	Реплики	Вид
Africa	Африка	Некультурный	ведущий радио	1	48:18	Циклоп, пришедший из Африки, принесет с собой облачность и небольшие дожди.	continent
Indochina	Индокитай	Колыбельная для Ежика	Лосяш	12	17:58	В далеких джунглях Индокитая есть вид ежей, которые зимой ведут такой же активный образ жизни, как и летом!	continent
Africa	Африка	Красный день календаря	Карыч	12	28:01	Величайший праздник всей нижней и верхней Африки!	continent
Germany	Фатерланд	Забыть все	Пин	12	33:42	Я не знал, что Бараш говорит на языке мой Фатерланд!	country
Burundi	Бурунди	Забыть все	Крош	12	36:20	Столица… Бурунди!	country
Burundi	Бурунди	Забыть все	Бараш	12	36:39	Столица Бурунди – Бужумбура!	country
Bujumbura	Бужумбура	Забыть все	Бараш	12	36:39	Столица Бурунди – Бужумбура!	point
Kostroma	Кострома	Эффект бабушки	певец	13	51:14	Славный город Кострома, в закромах полно ума!	point
India	Индия	Индийский чай	Карыч	14	32:49	В Индии выращивают только чай, и никто не жалуется!	country
India	Индия	Индийский чай	Карыч	14	36:25	Он поет – ему снится Индия.	country
Greenland	Гренландия	Чемодан	Карыч	14	55:28	Из Гренландии!	country
Mongolia	Монголия	Чемодан	Карыч	14	55:39	А эту шапку мне подарили… то ли в Монголе, то ли в Анголии…	country
Angola	Ангола	Чемодан	Карыч	14	55:39	А эту шапку мне подарили… то ли в Монголе, то ли в Анголии…	country
Constantinopole	Константинополь	Чемодан	Карыч	14	58:04	Чемодан с деньгами я потерял при пересадке в Константинополе!	point
Antarctica	Антарктида	Картографы	Лосяш	15	33:07	Карта Антарктиды, луны, карта Старой Новой Зеландии…	continent
New Zealand	Новая Зеландия	Картографы	Лосяш	15	33:07	Карта Антарктиды, луны, карта Старой Новой Зеландии…	country
North Pole	Северный полюс	Тайна древних сокровиц	ведущий радио	15	59:40	Горячие путевки на северный полюс – отличный отдых для всей семьи!	point
Murmansk	Мурманск	Тайна древних сокровиц	ведущий радио	15	59:54	Весенняя олимпиада две [нечетко] пятнадцать будет проведена в Мурманске!	point
Magadan	Магадан	Тайна древних сокровиц	ведущий радио	15	60:04	Я долг свой родине отдам, когда поеду в Магадан!	point
Istanbul	Стамбул	Тайна древних сокровиц	ведущий радио	15	60:15	Он же Константинополь, он же Второй Рим, он же Стамбул.	point
India	Индия	Тайна древних сокровиц	ведущий радио	15	60:20	Кинофестиваль в Индии закончился дружным танцем всех участников!	country
Omsk	Омск	Тайна древних сокровиц	певец	15	61:45	Если ноги не сотрутся и не заржавеет мозг, мы дойдем, доплывем, доползем до тебя, город Омск, город Омск, город Омск!	point
Africa	Африка	Лед	Совунья	16	43:12	В Африке растают все айсебрги, и нас затопит!	continent
Africa	Африка	Лед	Карыч	16	43:19	Дорогая, в Африке нет айсбергов, они в Арктике!	continent
Arctica	Арктика	Лед	Карыч	16	43:19	Дорогая, в Африке нет айсбергов, они в Арктике!	point
Arctica	Арктика	Лед	Совунья	16	43:24	Ну конечно в Арктике, хотя Африке от этого только хуже!	point
Africa	Африка	Лед	Совунья	16	43:27	Ну конечно в Арктике, хотя Африке от этого только хуже!	continent
Neva	Нева	Музотерапия	Карыч	17	37:36	Стояли мы на берегу Невы-ы-ы…	river
Calcutta	Калькутта	Инкогнито	Карыч	19	45:32	Ведь я имел честь лично сопровождать его на торговом корабле из Калькутты в наши края!	point
Africa	Африка	"Проект ""Африка"""	Копатыч	21	01:29	Что ж делать? Это ж не Африка!	continent
Africa	Африка	"Проект ""Африка"""	Крош	21	2:18	Но хочется, чтобы кусочек Африки был побольше.	continent
Africa	Африка	"Проект ""Африка"""	Крош	21	2:49	Проект “Африка”! Здорово придумал?	continent
Africa	Африка	"Проект ""Африка"""	Крош	21	5:54	Теперь для поддержания “Африки” дров совсем мало надо будет!	continent
Asia	Азия	Австралия	ведущий радио	21	07:09	У обитающих в Африке и Азии пустынных ежей уши немного длиннее, а иголки короче.	continent
Africa	Африка	Австралия	ведущий радио	21	07:09	У обитающих в Африке и Азии пустынных ежей уши немного длиннее, а иголки короче.	continent
Australia	Австралия	Австралия	ведущий радио	21	7:30	Их нет только в Австралии.	continent
Australia	Австралия	Австралия	Крош	21	7:42	А почему ты думаешь, что Австралия там погибает без ежей?	continent
Australia	Австралия	Австралия	Крош	21	8:24	Сейчас бы бежал с своей Автралии от разъяренного крокодила и думал бы: “Ах, почему я сейчас не в своей кроватке?”	continent
Australia	Австралия	Австралия	Крош	21	9:36	А почему именно ты должен ехать в Австралию, а не какой-нибудь другой еж?	continent
Australia	Австралия	Австралия	Крош	21	9:50	А ты не подумал, что Австралия может быть опасна для ежей?	continent
Australia	Австралия	Австралия	Ежик	21	10:05	К тому моменту, когда я доберусь до Австралии, я стану лошадью!	continent
Australia	Австралия	Австралия	Крош	21	10:28	Написать письмо в Австралию!	continent
Australia	Австралия	Австралия	Копатыч	21	12:00	Ну, как там, в Австралии-то?	continent
Australia	Австралия	Австралия	Ежик	21	12:15	А в Австралии, считаете, никому не надо сад опрыскивать?	continent
